TACC:  Starting up job 10024557 
TACC:  Starting parallel tasks... 
0 Cora_feat_L2.txt 0.00169931 0.00169362 5.694e-06
1 Cora_feat_L2.txt 0.000910422 0.000905472 4.95e-06
2 Cora_feat_L2.txt 0.00178494 0.00178003 4.913e-06
3 Cora_feat_L2.txt 0.000875928 0.000870857 5.071e-06
4 Cora_feat_L2.txt 0.00193502 0.0019301 4.922e-06
5 Cora_feat_L2.txt 0.000779762 0.000774806 4.956e-06
6 Cora_feat_L2.txt 0.00181769 0.00181263 5.062e-06
7 Cora_feat_L2.txt 0.000875706 0.00087057 5.136e-06
8 Cora_feat_L2.txt 0.00184592 0.00184056 5.366e-06
9 Cora_feat_L2.txt 0.000792108 0.00078705 5.058e-06
10 Cora_feat_L2.txt 0.00171985 0.00171471 5.134e-06
11 Cora_feat_L2.txt 0.00087549 0.000870493 4.997e-06
12 Cora_feat_L2.txt 0.0018367 0.00183173 4.967e-06
13 Cora_feat_L2.txt 0.000868888 0.000863782 5.106e-06
14 Cora_feat_L2.txt 0.00177655 0.00177154 5.004e-06
15 Cora_feat_L2.txt 0.000834582 0.000829582 5e-06
16 Cora_feat_L2.txt 0.00168905 0.00168383 5.225e-06
17 Cora_feat_L2.txt 0.00080808 0.000803138 4.942e-06
18 Cora_feat_L2.txt 0.00144769 0.00144255 5.142e-06
19 Cora_feat_L2.txt 0.000882615 0.000877623 4.992e-06
20 Cora_feat_L2.txt 0.00176527 0.00176023 5.039e-06
21 Cora_feat_L2.txt 0.000879022 0.000874107 4.915e-06
22 Cora_feat_L2.txt 0.00181077 0.00180543 5.338e-06
23 Cora_feat_L2.txt 0.000798602 0.000793539 5.063e-06
24 Cora_feat_L2.txt 0.00181179 0.00180651 5.272e-06
25 Cora_feat_L2.txt 0.00111682 0.00111175 5.065e-06
26 Cora_feat_L2.txt 0.00165798 0.00165276 5.215e-06
27 Cora_feat_L2.txt 0.00108562 0.00108064 4.976e-06
28 Cora_feat_L2.txt 0.00172435 0.00171924 5.113e-06
29 Cora_feat_L2.txt 0.00113379 0.00112871 5.082e-06
30 Cora_feat_L2.txt 0.00161798 0.00161291 5.067e-06
31 Cora_feat_L2.txt 0.00103622 0.0010305 5.723e-06
32 Cora_feat_L2.txt 0.00181981 0.00181445 5.359e-06
33 Cora_feat_L2.txt 0.000828191 0.000823275 4.916e-06
34 Cora_feat_L2.txt 0.00173222 0.00172708 5.14e-06
35 Cora_feat_L2.txt 0.000827668 0.000822669 4.999e-06
36 Cora_feat_L2.txt 0.00181561 0.00181046 5.148e-06
37 Cora_feat_L2.txt 0.000819611 0.000814641 4.97e-06
38 Cora_feat_L2.txt 0.00186316 0.00185729 5.876e-06
39 Cora_feat_L2.txt 0.000799075 0.000794046 5.029e-06
40 Cora_feat_L2.txt 0.0018318 0.00182641 5.396e-06
41 Cora_feat_L2.txt 0.000825591 0.000820587 5.004e-06
42 Cora_feat_L2.txt 0.00170455 0.00169884 5.718e-06
43 Cora_feat_L2.txt 0.000814659 0.00080987 4.789e-06
44 Cora_feat_L2.txt 0.0018578 0.0018529 4.902e-06
45 Cora_feat_L2.txt 0.000769036 0.000764042 4.994e-06
46 Cora_feat_L2.txt 0.00178354 0.00177827 5.267e-06
47 Cora_feat_L2.txt 0.000818626 0.000813673 4.953e-06
48 Cora_feat_L2.txt 0.00171841 0.00171266 5.755e-06
49 Cora_feat_L2.txt 0.000786092 0.000781073 5.019e-06
50 Cora_feat_L2.txt 0.00150078 0.00149561 5.166e-06
51 Cora_feat_L2.txt 0.000814863 0.000809887 4.976e-06
52 Cora_feat_L2.txt 0.0016615 0.00165615 5.353e-06
53 Cora_feat_L2.txt 0.000816061 0.000811065 4.996e-06
54 Cora_feat_L2.txt 0.00179937 0.00179406 5.303e-06
55 Cora_feat_L2.txt 0.000840514 0.000835505 5.009e-06
56 Cora_feat_L2.txt 0.00181939 0.00181423 5.152e-06
57 Cora_feat_L2.txt 0.00105424 0.00104919 5.053e-06
58 Cora_feat_L2.txt 0.00175976 0.00175453 5.229e-06
59 Cora_feat_L2.txt 0.00112892 0.001124 4.924e-06
60 Cora_feat_L2.txt 0.00167256 0.00166729 5.275e-06
61 Cora_feat_L2.txt 0.00106027 0.00105506 5.209e-06
62 Cora_feat_L2.txt 0.00159141 0.00158604 5.371e-06
63 Cora_feat_L2.txt 0.00107053 0.00106561 4.92e-06
64 Cora_feat_L2.txt 0.00167722 0.00167147 5.754e-06
65 Cora_feat_L2.txt 0.00083362 0.000828517 5.103e-06
66 Cora_feat_L2.txt 0.00168096 0.00167513 5.823e-06
67 Cora_feat_L2.txt 0.000806716 0.000801601 5.115e-06
68 Cora_feat_L2.txt 0.0018707 0.0018649 5.801e-06
69 Cora_feat_L2.txt 0.000809892 0.00080482 5.072e-06
70 Cora_feat_L2.txt 0.00181903 0.00181339 5.64e-06
71 Cora_feat_L2.txt 0.00081637 0.000811533 4.837e-06
72 Cora_feat_L2.txt 0.0018772 0.00187142 5.78e-06
73 Cora_feat_L2.txt 0.000820069 0.000814866 5.203e-06
74 Cora_feat_L2.txt 0.00171465 0.00170888 5.766e-06
75 Cora_feat_L2.txt 0.000823466 0.000818291 5.175e-06
76 Cora_feat_L2.txt 0.00187993 0.00187415 5.771e-06
77 Cora_feat_L2.txt 0.000806611 0.000801496 5.115e-06
78 Cora_feat_L2.txt 0.00176915 0.00176343 5.723e-06
79 Cora_feat_L2.txt 0.000845698 0.000840542 5.156e-06
80 Cora_feat_L2.txt 0.00175918 0.00175349 5.692e-06
81 Cora_feat_L2.txt 0.000879287 0.000874143 5.144e-06
82 Cora_feat_L2.txt 0.00151013 0.00150433 5.806e-06
83 Cora_feat_L2.txt 0.000805204 0.000800005 5.199e-06
84 Cora_feat_L2.txt 0.00169436 0.00168849 5.872e-06
85 Cora_feat_L2.txt 0.000816337 0.000811357 4.98e-06
86 Cora_feat_L2.txt 0.0016947 0.00168917 5.523e-06
87 Cora_feat_L2.txt 0.000800156 0.000795012 5.144e-06
88 Cora_feat_L2.txt 0.00176896 0.0017631 5.865e-06
89 Cora_feat_L2.txt 0.00109375 0.00108854 5.207e-06
90 Cora_feat_L2.txt 0.00170069 0.00169496 5.731e-06
91 Cora_feat_L2.txt 0.00115221 0.00114631 5.9e-06
92 Cora_feat_L2.txt 0.00171425 0.00170843 5.828e-06
