TACC:  Starting up job 10066078 
TACC:  Starting parallel tasks... 
0 Pubmed_feat_L2.txt 0.000206539 0.000109861 9.6678e-05
1 Pubmed_feat_L2.txt 0.000219995 0.000123354 9.6641e-05
2 Pubmed_feat_L2.txt 0.000239331 0.000142792 9.6539e-05
3 Pubmed_feat_L2.txt 0.00020237 0.000105755 9.6615e-05
4 Pubmed_feat_L2.txt 0.000213347 0.00011213 0.000101217
5 Pubmed_feat_L2.txt 0.000228701 0.00012748 0.000101221
6 Pubmed_feat_L2.txt 0.000248049 0.000151586 9.6463e-05
7 Pubmed_feat_L2.txt 0.000199777 0.00010255 9.7227e-05
8 Pubmed_feat_L2.txt 0.000203322 0.000107269 9.6053e-05
9 Pubmed_feat_L2.txt 0.000219838 0.000122596 9.7242e-05
10 Pubmed_feat_L2.txt 0.00022907 0.000132608 9.6462e-05
11 Pubmed_feat_L2.txt 0.000191632 9.4175e-05 9.7457e-05
0 Pubmed_A.txt 0.000391836 0.000368359 2.3477e-05
1 Pubmed_A.txt 0.000431391 0.000406551 2.484e-05
2 Pubmed_A.txt 0.000486072 0.000445505 4.0567e-05
3 Pubmed_A.txt 0.000409403 0.000379991 2.9412e-05
4 Pubmed_A.txt 0.00039726 0.000366974 3.0286e-05
5 Pubmed_A.txt 0.000449598 0.000399674 4.9924e-05
6 Pubmed_A.txt 0.000481833 0.00041327 6.8563e-05
7 Pubmed_A.txt 0.000432212 0.000368726 6.3486e-05
8 Pubmed_A.txt 0.000369052 0.000315019 5.4033e-05
9 Pubmed_A.txt 0.000405812 0.000360797 4.5015e-05
10 Pubmed_A.txt 0.000451472 0.000373553 7.7919e-05
11 Pubmed_A.txt 0.000444124 0.000358617 8.5507e-05
TACC:  Shutdown complete. Exiting. 
