TACC:  Starting up job 10066092 
TACC:  Starting parallel tasks... 
0 Cora_feat_L1.txt 0.000347144 0.000307378 3.9766e-05
1 Cora_feat_L1.txt 0.000277857 0.000236358 4.1499e-05
2 Cora_feat_L1.txt 0.00028849 0.000244733 4.3757e-05
3 Cora_feat_L1.txt 0.000285454 0.00024025 4.5204e-05
4 Cora_feat_L1.txt 0.000260228 0.000217005 4.3223e-05
5 Cora_feat_L1.txt 0.000316274 0.000272882 4.3392e-05
6 Cora_feat_L1.txt 0.000311396 0.000266209 4.5187e-05
7 Cora_feat_L1.txt 0.000291114 0.000247533 4.3581e-05
8 Cora_feat_L1.txt 0.000291826 0.000248594 4.3232e-05
9 Cora_feat_L1.txt 0.000274223 0.00022436 4.9863e-05
10 Cora_feat_L1.txt 0.000313343 0.000268509 4.4834e-05
11 Cora_feat_L1.txt 0.00028301 0.000236558 4.6452e-05
12 Cora_feat_L1.txt 0.000314001 0.000270583 4.3418e-05
13 Cora_feat_L1.txt 0.000311576 0.000270775 4.0801e-05
14 Cora_feat_L1.txt 0.000300772 0.000252927 4.7845e-05
15 Cora_feat_L1.txt 0.000300207 0.000255452 4.4755e-05
16 Cora_feat_L1.txt 0.00030256 0.000256183 4.6377e-05
17 Cora_feat_L1.txt 0.000288101 0.000242728 4.5373e-05
18 Cora_feat_L1.txt 0.00030651 0.00026197 4.454e-05
19 Cora_feat_L1.txt 0.000290915 0.000245106 4.5809e-05
20 Cora_feat_L1.txt 0.000308567 0.000258301 5.0266e-05
21 Cora_feat_L1.txt 0.000274621 0.00022961 4.5011e-05
22 Cora_feat_L1.txt 0.000293411 0.000245252 4.8159e-05
23 Cora_feat_L1.txt 0.000298805 0.000250191 4.8614e-05
0 Cora_A.txt 0.000220758 0.00021392 6.838e-06
1 Cora_A.txt 0.00027515 0.000270022 5.128e-06
2 Cora_A.txt 0.000232624 0.0002248 7.824e-06
3 Cora_A.txt 0.000265876 0.000258305 7.571e-06
4 Cora_A.txt 0.000210409 0.000203168 7.241e-06
5 Cora_A.txt 0.00028699 0.000279189 7.801e-06
6 Cora_A.txt 0.000238714 0.000229027 9.687e-06
7 Cora_A.txt 0.000290354 0.000280906 9.448e-06
8 Cora_A.txt 0.000291758 0.000283037 8.721e-06
9 Cora_A.txt 0.000255531 0.000245835 9.696e-06
10 Cora_A.txt 0.000278084 0.000267584 1.05e-05
11 Cora_A.txt 0.000255168 0.000242843 1.2325e-05
12 Cora_A.txt 0.00021589 0.000200079 1.5811e-05
13 Cora_A.txt 0.000267478 0.00025959 7.888e-06
14 Cora_A.txt 0.000239152 0.000227313 1.1839e-05
15 Cora_A.txt 0.000260808 0.000249084 1.1724e-05
16 Cora_A.txt 0.000266128 0.000255074 1.1054e-05
17 Cora_A.txt 0.000265035 0.000248191 1.6844e-05
18 Cora_A.txt 0.000274506 0.000257455 1.7051e-05
19 Cora_A.txt 0.000254363 0.000240401 1.3962e-05
20 Cora_A.txt 0.000241473 0.000228272 1.3201e-05
21 Cora_A.txt 0.000244478 0.000233417 1.1061e-05
22 Cora_A.txt 0.000242509 0.000230354 1.2155e-05
23 Cora_A.txt 0.000271291 0.000253394 1.7897e-05
TACC:  Shutdown complete. Exiting. 
