TACC:  Starting up job 10066049 
TACC:  Starting parallel tasks... 
0 Pubmed_feat_L2.txt 0.000369352 0.00035506 1.4292e-05
1 Pubmed_feat_L2.txt 0.000289223 0.000275381 1.3842e-05
2 Pubmed_feat_L2.txt 0.000387991 0.000374338 1.3653e-05
3 Pubmed_feat_L2.txt 0.000289477 0.000275862 1.3615e-05
4 Pubmed_feat_L2.txt 0.00037122 0.000357733 1.3487e-05
5 Pubmed_feat_L2.txt 0.000276639 0.00026291 1.3729e-05
6 Pubmed_feat_L2.txt 0.000400465 0.000386655 1.381e-05
7 Pubmed_feat_L2.txt 0.000313961 0.000300415 1.3546e-05
8 Pubmed_feat_L2.txt 0.000397422 0.000383917 1.3505e-05
9 Pubmed_feat_L2.txt 0.00030878 0.000295024 1.3756e-05
10 Pubmed_feat_L2.txt 0.000420844 0.000407648 1.3196e-05
11 Pubmed_feat_L2.txt 0.000320046 0.000306691 1.3355e-05
12 Pubmed_feat_L2.txt 0.000380277 0.000366027 1.425e-05
13 Pubmed_feat_L2.txt 0.0003096 0.000295629 1.3971e-05
14 Pubmed_feat_L2.txt 0.000407181 0.000393425 1.3756e-05
15 Pubmed_feat_L2.txt 0.000326215 0.000312699 1.3516e-05
16 Pubmed_feat_L2.txt 0.000404489 0.000391107 1.3382e-05
17 Pubmed_feat_L2.txt 0.000314226 0.000300702 1.3524e-05
18 Pubmed_feat_L2.txt 0.000423852 0.000410099 1.3753e-05
19 Pubmed_feat_L2.txt 0.000321214 0.000307857 1.3357e-05
20 Pubmed_feat_L2.txt 0.000404452 0.000390992 1.346e-05
21 Pubmed_feat_L2.txt 0.000313634 0.000300002 1.3632e-05
22 Pubmed_feat_L2.txt 0.000417005 0.000403576 1.3429e-05
23 Pubmed_feat_L2.txt 0.000323904 0.000310383 1.3521e-05
24 Pubmed_feat_L2.txt 0.000369104 0.000354775 1.4329e-05
25 Pubmed_feat_L2.txt 0.000291462 0.000277368 1.4094e-05
26 Pubmed_feat_L2.txt 0.0003909 0.000377055 1.3845e-05
27 Pubmed_feat_L2.txt 0.000287575 0.000273664 1.3911e-05
28 Pubmed_feat_L2.txt 0.000358528 0.000345174 1.3354e-05
29 Pubmed_feat_L2.txt 0.000289966 0.000276551 1.3415e-05
30 Pubmed_feat_L2.txt 0.000411153 0.000397363 1.379e-05
31 Pubmed_feat_L2.txt 0.000314911 0.000301116 1.3795e-05
32 Pubmed_feat_L2.txt 0.000400608 0.000387034 1.3574e-05
33 Pubmed_feat_L2.txt 0.000314449 0.000300772 1.3677e-05
34 Pubmed_feat_L2.txt 0.000416178 0.000402724 1.3454e-05
35 Pubmed_feat_L2.txt 0.000313494 0.000299848 1.3646e-05
36 Pubmed_feat_L2.txt 0.00038318 0.00036887 1.431e-05
37 Pubmed_feat_L2.txt 0.000304328 0.000290494 1.3834e-05
