TACC:  Starting up job 10066086 
TACC:  Starting parallel tasks... 
0 Cora_feat_L1.txt 0.000430379 0.000410463 1.9916e-05
1 Cora_feat_L1.txt 0.000367586 0.000347372 2.0214e-05
2 Cora_feat_L1.txt 0.000884916 0.000865632 1.9284e-05
3 Cora_feat_L1.txt 0.00039377 0.000371893 2.1877e-05
4 Cora_feat_L1.txt 0.000449934 0.000428773 2.1161e-05
5 Cora_feat_L1.txt 0.000372862 0.000352002 2.086e-05
6 Cora_feat_L1.txt 0.000970919 0.000948133 2.2786e-05
7 Cora_feat_L1.txt 0.000346477 0.000325403 2.1074e-05
8 Cora_feat_L1.txt 0.000438425 0.00041846 1.9965e-05
9 Cora_feat_L1.txt 0.000385713 0.000362084 2.3629e-05
10 Cora_feat_L1.txt 0.000511108 0.00049086 2.0248e-05
11 Cora_feat_L1.txt 0.000414815 0.000393258 2.1557e-05
12 Cora_feat_L1.txt 0.000463828 0.000440854 2.2974e-05
13 Cora_feat_L1.txt 0.000382671 0.000361341 2.133e-05
14 Cora_feat_L1.txt 0.000460896 0.000440724 2.0172e-05
15 Cora_feat_L1.txt 0.000363981 0.00034167 2.2311e-05
16 Cora_feat_L1.txt 0.000434957 0.00041374 2.1217e-05
17 Cora_feat_L1.txt 0.000371639 0.00035131 2.0329e-05
18 Cora_feat_L1.txt 0.000882015 0.000859473 2.2542e-05
19 Cora_feat_L1.txt 0.00037378 0.000351632 2.2148e-05
20 Cora_feat_L1.txt 0.000430111 0.000408743 2.1368e-05
21 Cora_feat_L1.txt 0.000364742 0.000342516 2.2226e-05
22 Cora_feat_L1.txt 0.000870952 0.000849148 2.1804e-05
23 Cora_feat_L1.txt 0.00035813 0.000335522 2.2608e-05
24 Cora_feat_L1.txt 0.000451674 0.000428798 2.2876e-05
25 Cora_feat_L1.txt 0.000377225 0.00035752 1.9705e-05
26 Cora_feat_L1.txt 0.00050748 0.000486987 2.0493e-05
27 Cora_feat_L1.txt 0.000417395 0.000398378 1.9017e-05
28 Cora_feat_L1.txt 0.000471256 0.000448872 2.2384e-05
29 Cora_feat_L1.txt 0.000391749 0.00036848 2.3269e-05
30 Cora_feat_L1.txt 0.00046131 0.000437995 2.3315e-05
31 Cora_feat_L1.txt 0.000345582 0.000325021 2.0561e-05
32 Cora_feat_L1.txt 0.000348779 0.00032664 2.2139e-05
33 Cora_feat_L1.txt 0.000334888 0.000311811 2.3077e-05
34 Cora_feat_L1.txt 0.000840058 0.000818462 2.1596e-05
35 Cora_feat_L1.txt 0.000303111 0.000280926 2.2185e-05
36 Cora_feat_L1.txt 0.000385042 0.000361709 2.3333e-05
37 Cora_feat_L1.txt 0.000313699 0.000292648 2.1051e-05
38 Cora_feat_L1.txt 0.000387222 0.000365146 2.2076e-05
39 Cora_feat_L1.txt 0.000323646 0.000300524 2.3122e-05
40 Cora_feat_L1.txt 0.000367799 0.000346172 2.1627e-05
41 Cora_feat_L1.txt 0.000348685 0.000326752 2.1933e-05
42 Cora_feat_L1.txt 0.000455191 0.000431802 2.3389e-05
43 Cora_feat_L1.txt 0.000366187 0.000344869 2.1318e-05
44 Cora_feat_L1.txt 0.00037919 0.000360932 1.8258e-05
45 Cora_feat_L1.txt 0.000327354 0.000305243 2.2111e-05
